3887.02166	-0.14959
3886.53951	-0.15266
3886.05737	-0.15467
3885.57523	-0.15395
3885.09309	-0.15110
3884.61095	-0.14817
3884.12881	-0.14650
3883.64667	-0.14587
3883.16453	-0.14545
3882.68239	-0.14507
3882.20024	-0.14525
3881.71810	-0.14631
3881.23596	-0.14776
3880.75382	-0.14869
3880.27168	-0.14846
3879.78954	-0.14713
3879.30740	-0.14525
3878.82526	-0.14354
3878.34312	-0.14257
3877.86097	-0.14236
3877.37883	-0.14238
3876.89669	-0.14217
3876.41455	-0.14192
3875.93241	-0.14230
3875.45027	-0.14354
3874.96813	-0.14493
3874.48599	-0.14545
3874.00385	-0.14477
3873.52170	-0.14344
3873.03956	-0.14214
3872.55742	-0.14130
3872.07528	-0.14139
3871.59314	-0.14298
3871.11100	-0.14612
3870.62886	-0.14955
3870.14672	-0.15116
3869.66458	-0.14982
3869.18243	-0.14649
3868.70029	-0.14306
3868.21815	-0.14066
3867.73601	-0.13933
3867.25387	-0.13893
3866.77173	-0.13961
3866.28959	-0.14144
3865.80745	-0.14369
3865.32531	-0.14498
3864.84316	-0.14446
3864.36102	-0.14250
3863.87888	-0.14039
3863.39674	-0.13924
3862.91460	-0.13936
3862.43246	-0.14018
3861.95032	-0.14065
3861.46818	-0.14006
3860.98604	-0.13862
3860.50389	-0.13729
3860.02175	-0.13672
3859.53961	-0.13672
3859.05747	-0.13675
3858.57533	-0.13680
3858.09319	-0.13725
3857.61105	-0.13794
3857.12891	-0.13805
3856.64677	-0.13748
3856.16462	-0.13805
3855.68248	-0.14219
3855.20034	-0.15007
3854.71820	-0.15805
3854.23606	-0.16096
3853.75392	-0.15775
3853.27178	-0.15256
3852.78964	-0.14931
3852.30750	-0.14798
3851.82535	-0.14600
3851.34321	-0.14207
3850.86107	-0.13782
3850.37893	-0.13542
3849.89679	-0.13504
3849.41465	-0.13517
3848.93251	-0.13468
3848.45037	-0.13394
3847.96823	-0.13377
3847.48608	-0.13407
3847.00394	-0.13411
3846.52180	-0.13368
3846.03966	-0.13345
3845.55752	-0.13398
3845.07538	-0.13502
3844.59324	-0.13593
3844.11110	-0.13635
3843.62896	-0.13628
3843.14681	-0.13581
3842.66467	-0.13517
3842.18253	-0.13497
3841.70039	-0.13569
3841.21825	-0.13690
3840.73611	-0.13736
3840.25397	-0.13667
3839.77183	-0.13626
